,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Mount Everest,Mount Everest,LOC,0.00000000,0.00000000,de,5.00000000,4040417-1,1283416,T,27.98791000,86.92529000,ASIA,China,TIB
Hessens,Hessens,LOC,-0.49290780,0.00000000,de,4.70000000,,0,,,,,,
Rhein-Main,Rhein-Main,LOC,0.08695652,0.00000000,de,4.60000000,,2847616,L,50.00000000,8.66667000,EUROPE,Germany,WCE
Glätte,Glätte,LOC,0.00000000,0.00000000,de,4.60000000,,9645262,L,47.27827000,10.08314000,EUROPE,Austria,WCE
Steiermark,Steiermark,LOC,0.30434783,0.00000000,de,4.60000000,4057092-7,2764581,A,47.25000000,15.16667000,EUROPE,Austria,WCE
Moabit,Moabit,LOC,0.21739130,0.00000000,de,4.60000000,1292404396,2870310,P,52.52635000,13.33903000,EUROPE,Germany,WCE
New York,New York,LOC,-0.18478261,0.21739130,de,4.60000000,4042011-5,5128581,P,40.71427000,-74.00597000,NORTH-AMERICA,United States,ENA
Landkreis Ludwigslust-Parchim,Landkreis Ludwigslust-Parchim,LOC,0.15217391,0.00000000,de,4.60000000,4230395-3,2855441,P,53.42631000,11.84875000,EUROPE,Germany,WCE
USA,USA,LOC,-0.21739130,0.00000000,de,4.60000000,4078704-7,6255150,L,-14.60485000,-57.65625000,SOUTH-AMERICA,Brazil,SAM
Amsterdam,Amsterdam,LOC,0.00000000,0.21739130,de,4.60000000,4001783-7,2759794,P,52.37403000,4.88969000,EUROPE,The Netherlands,NEU
Autobahn 93,Autobahn 93,LOC,-0.21739130,0.00000000,de,4.60000000,,0,,,,,,
Temperatursturz,Temperatursturz,LOC,0.28205128,0.00000000,de,3.90000000,,0,,,,,,
Schneesturm,Schneesturm,LOC,0.11965812,0.08547009,de,3.90000000,,0,,,,,,
Tirol,Tirol,LOC,-0.18421053,0.00000000,de,3.80000000,4027096-8,2775220,P,47.26266000,11.39454000,EUROPE,Austria,WCE
Nordpol,Nordpol,LOC,0.00000000,0.00000000,de,3.70000000,4117914-6,6942237,T,90.00000000,0.00000000,ARCTIC,,ARO
Stuttgart,Stuttgart,LOC,0.00000000,0.00000000,de,3.70000000,4058282-6,2825297,P,48.78232000,9.17702000,EUROPE,Germany,WCE
Glättegefahr,Glättegefahr,LOC,0.00000000,0.00000000,de,3.70000000,,0,,,,,,
Baden-Württembergs,Baden-Württembergs,LOC,0.18918919,0.00000000,de,3.70000000,,0,,,,,,
Region Hannover,Region Hannover,LOC,-0.45945946,0.00000000,de,3.70000000,4023349-2,2910831,P,52.37052000,9.73322000,EUROPE,Germany,WCE
Saale,Saale,LOC,0.00000000,0.00000000,de,3.70000000,4051087-6,2842688,P,50.64826000,11.36536000,EUROPE,Germany,WCE
Autobahn 1,Autobahn 1,LOC,-1.08108108,0.00000000,de,3.70000000,,0,,,,,,
Berlin-Moabit,Berlin-Moabit,LOC,0.04054054,0.00000000,de,3.70000000,1292404396,2870310,P,52.52635000,13.33903000,EUROPE,Germany,WCE
Gießener,Gießener,LOC,0.27027027,0.00000000,de,3.70000000,,2778575,S,47.00000000,13.33333000,EUROPE,Austria,WCE
Sonne am Tag,Sonne am Tag,LOC,0.00000000,0.00000000,de,3.70000000,,0,,,,,,
Streusalz,Streusalz,LOC,0.00000000,0.27027027,de,3.70000000,,0,,,,,,
Gl…,Gl…,LOC,0.00000000,0.00000000,de,3.70000000,,0,,,,,,
Erbeskopf,Erbeskopf,LOC,0.00000000,0.00000000,de,3.70000000,4625265-4,2929768,T,49.73046000,7.09070000,EUROPE,Germany,WCE
Mittelhessen,Mittelhessen,LOC,0.08108108,0.00000000,de,3.70000000,4039686-1,12076828,L,50.57609000,8.55804000,EUROPE,Germany,WCE
Maxhütte-Haidhof,Maxhütte-Haidhof,LOC,-0.27027027,0.00000000,de,3.70000000,4038071-3,2872670,P,49.19963000,12.09229000,EUROPE,Germany,WCE
A1,A1,LOC,-0.37837838,0.00000000,de,3.70000000,,3239262,A,46.62722000,16.04833000,EUROPE,Slovenia,WCE
A7,A7,LOC,1.08108108,0.00000000,de,3.70000000,,3239234,A,46.24667000,15.62944000,EUROPE,Slovenia,WCE
A93,A93,LOC,0.00000000,0.00000000,de,3.70000000,,0,,,,,,
Potsdam,Potsdam,LOC,0.41891892,0.00000000,de,3.70000000,4046948-7,2852458,P,52.39886000,13.06566000,EUROPE,Germany,WCE
Achim,Achim,LOC,0.75675676,0.00000000,de,3.70000000,,2306053,P,5.25141000,-1.97966000,AFRICA,Ghana,WAF
Streugut,Streugut,LOC,0.75675676,0.00000000,de,3.70000000,,0,,,,,,
Flughafen,Flughafen,LOC,-0.40540541,0.40540541,de,3.70000000,,3208399,S,48.35378000,11.78609000,EUROPE,Germany,WCE
Sturm,Sturm,LOC,0.00000000,0.00000000,de,3.70000000,,6626207,T,-71.05000000,162.96667000,POLAR,Antarctica,EAN
Rhein-Main-Liveblog,Rhein-Main-Liveblog,LOC,-0.18918919,0.00000000,de,3.70000000,,0,,,,,,
Temperaturen,Temperaturen,LOC,-0.08108108,0.00000000,de,3.70000000,,0,,,,,,
Hochtouren,Hochtouren,LOC,0.00000000,0.58823529,de,3.40000000,,0,,,,,,
Nordsee,Nordsee,LOC,0.00000000,0.00000000,de,3.00000000,4042579-4,2960848,H,55.33333000,3.00000000,EUROPE,,NEU
Anmarsch,Anmarsch,LOC,0.00000000,0.00000000,de,2.90000000,,0,,,,,,
